"year","mean_snow"
1958,60.7017731603835
1959,39.072783123812
1960,36.3523746814898
1961,39.2061068234791
1962,50.3124250195039
1963,39.3063572091679
1964,58.7714447110423
1965,71.6724658044652
1966,48.9778396044693
1967,47.919966163378
1968,63.9069355005108
1969,45.9042866235752
1970,58.3715217700529
1971,39.6402973353972
1972,76.629096943236
1973,35.8969282889345
1974,104.073708828711
1975,69.7797951040495
1976,125.040712861433
1977,47.2531068752832
1978,44.0824624799091
1979,56.8134749272099
1980,51.9908513039462
1981,94.9635188884041
1982,62.4195233990459
1983,43.5282873757321
1984,109.10387360618
1985,38.9198889277131
1986,62.7360889071457
1987,44.1280080870398
1988,73.1648091370812
1989,79.9073306406348
1990,46.9414435466241
1991,31.251893069518
1992,44.3619867170002
1993,66.2045181376028
1994,50.1735538246888
1995,50.3551198291512
1996,56.0595309899903
1997,61.0200722794146
1998,32.7476650123323
1999,39.8707702305973
2000,37.3101133161785
2001,31.7517100826895
2002,56.8183771696185
2003,49.9436779595358
2004,81.3539068411623
2005,73.7109903849437
2006,47.3714734246224
2007,47.3851495938499
2008,49.8541181822255
2009,55.1759905453122
2010,34.7705197013275
2011,46.6354915153931
2012,58.1209679589387
2013,39.7103734025725
2014,50.1769535678555
2015,40.5036508824824
2016,42.4304832576275
2017,68.3609854908425
2018,72.3977378714562
2019,35.6669080448212
2020,59.9638554247102
2021,34.596966767409
2022,47.1293468676952
2023,44.5344705869154
2024,52.2583462560635
2025,55.9425705244095
