L;R;C;nytt
VannforekomstID;VannforekomstID;VannforekomstID;id
Vannforekomstnavn;Vannforekomstnavn;Vannforekomstnavn;nam
Naturlig.eller.SMVF;Naturlig.eller.SMVF;;smvf
Vanntype;Vanntype;Vanntype;typ
Nasjonal.vanntype;Nasjonal.vanntype;Nasjonal.vanntype;nas
Interkalibreringstype;Interkalibreringstype;Interkalibreringstype;int
;;;kat
Økoregion;Økoregion;Økoregion.kyst;reg
Klimasone;Klimasone;;son
Størrelse.innsjøareal;Størrelseinnsjøareal;;stø
Kalsium;Kalsium;;alk
Humus;Humus;;hum
Tubiditet;Tubiditet;;tur
Dybde;;;dyp
;;Kysttype;kys
;;Salinitet;sal
;;Tidevann;tid
;;Bølgeeksponering;eks
;;Miksing.i.vannsøylen;mix
;;Oppholdstid;opp
;;Strømhastighet;str
Påvirkningstype;Påvirkningstype;Påvirkningstype;n1
Påvirkningsgrad;Påvirkningsgrad;Påvirkningsgrad;n2
Økologisk.tilstand;Økologisk.tilstand.eller.potensial;Økologisk.tilstand;øtil
Økologisk.potensial;;Økologisk.potensial;øpot
Kjemisk.tilstand;Kjemisktilstand;Kjemisk.tilstand;ktil
Økologisk.tilstand.miljømål;Økologisk.miljømål;Økologisk.tilstand.miljømål;ømål
Økologisk.potensial.miljømål;;Økologisk.potensial.miljømål;pmål
Kjemisk.miljømål;Kjemisk.miljømål;Kjemisk.miljømål;kmål
Vannregionkoordinator;Vannregionkoordinator;Vannregionkoordinator;n3
Vannregion;Vannregion;Vannregion;region
Vannområde;Vannområde;Vannområde;område
VassdragsområdeID;VassdragsområdeID;VassdragsområdeID;n4
Vassdragsområde;Vassdragsområde;Vassdragsområde;vassdrag
Endret.dato;Endret.dato;Endret.dato;n5
Kommunenummer;Kommunenummer;Kommunenummer;knr
Kommunenavn;Kommunenavn;Kommunenavn;kommune
;;;fylke
;;;hoh
;;;areal
;;;artot
;;;lengd
;;;dybde
;;;tilsig
;;;utmx
;;;utmy
;;;lat
;;;long
