VL;nytt
Result.CoordX_dg;n01
Result.CoordY_dg;n02
Result.WaterLocationID;lokid
Result.WaterLocationCode;lokkod
Result.Name;loknam
Result.ActivityID;n03
Result.Betegnelse;n04
Result.Description;n05
Result.Classify;n06
Result.CreateDate;n07
Result.LastModifiedDate;n08
Result.Elevation;n09
Result.FeatureType;n10
Result.WaterCategory;kat
Result.WaterType;n11
Result.HasWaterRegistrations;n12
Result.CreatedByUsername;n13
Result.SourceID;n14
Result.HasArchiveElements;n14
Result.FylkeID;n15
Result.Fylke;n16
Result.KommuneID;n17
Result.Kommune;n18
Result.VassdragsomradeID;n19
Result.Vassdragsomrade;n20
Result.VannomradeID;n21
Result.Vannomrade;n22
Result.VannregionID;n23
Result.Vannregion;n24
Result.WaterBodyID;id
Result.WaterBody;n25
Result.CoordY;Y
Result.CoordX;X
Result.LastDataimportDate;n26
ResultCount;n27
