vm;nytt
Result.WaterRegistrationID;regid
Result.WaterLocationID;lokid
Result.WaterLocationCode;n01
Result.Name;n02
Result.Name_Alternative;n03
Result.SourceID;n04
Result.ActivityID;aktid
Result.ActivityName;n05
Result.Employer;oppdrg
Result.Contractor;oppdrt
Result.ParameterID;parid
Result.ParameterName;n06
Result.CASnr;n07
Result.QualityElementID;n08
Result.QualityElementTypeID;n09
Result.MediumID;medium
Result.LatinskNavnID;navnid
Result.VitenskapligNavn;vitnavn
Result.MediumName;n10
Result.SamplingMethodID;provmet
Result.SamplingMethodName;n11
Result.AnalysisMethodID;analmet
Result.AnalysisMethodName;n12
Result.SamplingTime;tidpkt
Result.UpperDepth;odyp
Result.LowerDepth;ndyp
Result.ValueOperator;operator
Result.RegValue;verdi
Result.ListName;n13
Result.UnitID;enhet
Result.Unit;n14
Result.SampleID;provnr
Result.DetectionLimit;detgr
Result.QuantificationLimit;kvantgr
Result.Origin;n15
Result.NumberOfValues;antverdi
Result.Comment;n16
Result.Username;n17
Result.RegDate;n18
Result.LastEditDate;n19
Result.Archive;n20
Result.FeatureType;n21
Result.WaterCategory;n22
Result.FylkeID;n23
Result.Fylke;n24
Result.KommuneID;n25
Result.Kommune;n26
Result.VassdragsomradeID;n27
Result.Vassdragsomrade;n28
Result.VannomradeID;n29
Result.Vannomrade;n30
Result.VannregionID;n31
Result.Vannregion;n32
Result.WaterType;n33
Result.WaterBodyID;n34
Result.WaterBody;n35
Result.CoordX;n36
Result.CoordY;n37
Result.FilteredSample;filt
ResultCount;n38
